Rank,image_path,name,mudra,origin,medium,topic
84,data/crop/FS-7606_01.png,Buddhist tablet on rectangular pedestal,dhyana,China,Stone,Buddhism   Buddha   bodhisattva   Tang dynasty (618 - 907)   China   throne   lettering   dhyana mudra   Chinese Art  
85,data/crop/FS-7606_04.png,Buddhist tablet,bhumisparsha,China,Stone,Buddhism   Tang dynasty (618 - 907)   lotus   China   bhumisparsha mudra   Chinese Art  
86,data/crop/FS-7606_09.png,Statuette: Buddhist trinity,abhaya,China,Bronze,Buddhism   casting   inscription   Period of Division (220 - 589)   Northern dynasties (386 - 581)   Northern Qi dynasty (550 - 577)   lotus   China   mandorla   abhaya mudra   varada mudra   Chinese Art  
87,data/crop/FS-7606_22.png,Possibly Bodhisattva Avalokiteshvara (Guanyin) with attendants,abhaya,China,Bronze with gilding,Buddhism   bodhisattva   lion   casting   inscription   Period of Division (220 - 589)   Northern Qi dynasty (550 - 577)   lotus   incense   Guanyin   Maitreya Buddha   China   mandorla   abhaya mudra   Chinese Art   gilding   attendant  
88,data/crop/FS-7606_26.png,Bodhisattva Avalokiteshvara (Guanyin),abhaya,China,Bronze with gilding,Buddhism   bodhisattva   casting   Period of Division (220 - 589)   Northern Wei dynasty (386 - 534)   lotus   Guanyin   China   mandorla   abhaya mudra   Chinese Art   gilding  
89,data/crop/FS-7606_28.png,Standing Buddha,abhaya,China,Bronze with gilding,Buddhism   Buddha   casting   Period of Division (220 - 589)   Northern dynasties (386 - 581)   Northern Qi dynasty (550 - 577)   lotus   China   mandorla   abhaya mudra   Chinese Art   gilding  
90,data/crop/FS-7607_04.png,Buddhist tablet in brick form,abhaya,China,Stone,Buddhism   Buddha   bodhisattva   Period of Division (220 - 589)   China   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
91,data/crop/FS-7607_09.png,Standing Bodhisattva,anjali,China,Bronze with gilding,Buddhism   bodhisattva   Sui dynasty (581 - 618)   casting   lotus   China   anjali mudra   Chinese Art   gilding  
92,data/crop/FS-7607_11.png,Standing Bodhisattva with attendants,abhaya,China,Bronze with gilding,Buddhism   bodhisattva   lion   Sui dynasty (581 - 618)   casting   incense   China   Ananda   Kasyapa   mandorla   abhaya mudra   varada mudra   Chinese Art   gilding  
93,data/crop/FS-7607_24_abhaya.png,Standing Maitreya Buddha,abhaya,China,Bronze,Buddhism   casting   inscription   Period of Division (220 - 589)   Northern dynasties (386 - 581)   lotus   Eastern Wei dynasty (534 - 550)   Maitreya Buddha   China   apsara   mandorla   abhaya mudra   varada mudra   Chinese Art  
94,data/crop/FS-7607_24_varada.png,Standing Maitreya Buddha,varada,China,Bronze,Buddhism   casting   inscription   Period of Division (220 - 589)   Northern dynasties (386 - 581)   lotus   Eastern Wei dynasty (534 - 550)   Maitreya Buddha   China   apsara   mandorla   abhaya mudra   varada mudra   Chinese Art  
95,data/crop/FS-7608_05.png,Possibly Bodhisattva Avalokiteshvara (Guanyin),abhaya,China,Bronze with gilding,Buddhism   bodhisattva   casting   inscription   Period of Division (220 - 589)   Northern Qi dynasty (550 - 577)   lotus   Guanyin   China   mandorla   abhaya mudra   Chinese Art   gilding  
96,data/crop/FS-7623_34.png,Standing Buddha,abhaya,China,Bronze with gilding,Buddhism   Buddha   casting   Period of Division (220 - 589)   Northern Wei dynasty (386 - 534)   lotus   China   mandorla   abhaya mudra   varada mudra   Chinese Art   gilding   WWII-era provenance  
97,data/crop/FS-7630_07_abhaya.png,Buddhist statuette,abhaya,China,Bronze,Buddhism   casting   China   halo   lettering   abhaya mudra   varada mudra   Chinese Art  
98,data/crop/FS-7630_07_varada.png,Buddhist statuette,varada,China,Bronze,Buddhism   casting   China   halo   lettering   abhaya mudra   varada mudra   Chinese Art  
99,data/crop/FS-7630_08.png,Buddhist statuette,abhaya,China,Bronze,Buddhism   casting   China   halo   lettering   abhaya mudra   varada mudra   Chinese Art  
100,data/crop/FS-7631_19.png,Statuette of a monk,anjali,China,Bronze,Buddhism   Tang dynasty (618 - 907)   casting   China   monk   anjali mudra   Chinese Art   gilding  
101,data/crop/FS-7734_08_anjali.png,Seated Buddha (Shakyamuni) with standing monks and bodhisattvas (obverse) and donors (reverse),anjali,China,Stone,Buddhism   Buddha   bodhisattva   relief seal   inscription   Period of Division (220 - 589)   lotus   Eastern Wei dynasty (534 - 550)   China   halo   Ananda   monk   Kasyapa   Shakyamuni   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
102,data/crop/FS-7734_08_abhaya.png,Seated Buddha (Shakyamuni) with standing monks and bodhisattvas (obverse) and donors (reverse),abhaya,China,Stone,Buddhism   Buddha   bodhisattva   relief seal   inscription   Period of Division (220 - 589)   lotus   Eastern Wei dynasty (534 - 550)   China   halo   Ananda   monk   Kasyapa   Shakyamuni   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
103,data/crop/FS-7734_08_varada.png,Seated Buddha (Shakyamuni) with standing monks and bodhisattvas (obverse) and donors (reverse),varada,China,Stone,Buddhism   Buddha   bodhisattva   relief seal   inscription   Period of Division (220 - 589)   lotus   Eastern Wei dynasty (534 - 550)   China   halo   Ananda   monk   Kasyapa   Shakyamuni   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
104,data/crop/FS-7734_11.png,tanding Buddha with bodhisattvas (on one side) and Seated bodhisattva (on other side),anjali,China,Stone with traces of pigment,Buddhism   Buddha   bodhisattva   Sui dynasty (581 - 618)   inscription   lotus   China   halo   mudra   Chinese Art  
105,data/crop/FS-7754_27.png,Seated Buddha (Shakyamuni) with two disciples,bhumisparsha,China,Stone,Buddhism   Buddha   Tang dynasty (618 - 907)   relief seal   lotus   China   halo   monk   Shakyamuni   mandorla   bhumisparsha mudra   Chinese Art  
106,data/crop/FS-7754_29.png,Seated Buddha with two bodhisattvas,dhyana,China,Stone,Buddhism   Buddha   bodhisattva   relief seal   Period of Division (220 - 589)   lotus   Northern Zhou dynasty (557 - 581)   forgery   China   fly whisk   dhyana mudra   Chinese Art  
107,data/crop/FS-7754_35.png,Seated Buddha (Shakyamuni),bhumisparsha,China,Stone,Buddhism   Tang dynasty (618 - 907)   relief seal   China   halo   Shakyamuni Buddha   mandorla   bhumisparsha mudra   Chinese Art  
108,data/crop/FS-7754_37.png,Buddha (fragment),abhaya,China,Stone,Buddhism   relief seal   inscription   Period of Division (220 - 589)   Northern Wei dynasty (386 - 534)   China   abhaya mudra   Chinese Art  
109,data/crop/FS-7754_38.png,Standing Buddha (Shakyamuni) with lions,abhaya,China,Stone with traces of pigment,Buddhism   Buddha   lion   Period of Division (220 - 589)   Northern Wei dynasty (386 - 534)   forgery   China   Shakyamuni   abhaya mudra   varada mudra   Chinese Art  
110,data/crop/FS-7755_11.png,Seated Buddha (Shakyamuni) with standing bodhisattvas,anjali,China,Stone,Buddhism   bodhisattva   inscription   Period of Division (220 - 589)   lotus   Eastern Wei dynasty (534 - 550)   forgery   China   halo   Shakyamuni   mandorla   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
111,data/crop/FS-7755_18_abhaya.png,"Standing bodhisattvas with monks, Pratyekabuddhas, lions, and apasaras",abhaya,China,Stone with pigment,Buddhism   Buddha   bodhisattva   relief seal   Period of Division (220 - 589)   lotus   Northern Zhou dynasty (557 - 581)   lute   stupa   bodhi tree   sheng   willow   China   Ananda   monk   Kasyapa   apsara   yaksha   Vajrapani   Mount Meru  abhaya mudra   varada mudra   cintamani   Chinese Art  
112,data/crop/FS-7755_18_varada.png,"Standing bodhisattvas with monks, Pratyekabuddhas, lions, and apasaras",varada,China,Stone with pigment,Buddhism   Buddha   bodhisattva   relief seal   Period of Division (220 - 589)   lotus   Northern Zhou dynasty (557 - 581)   lute   stupa   bodhi tree   sheng   willow   China   Ananda   monk   Kasyapa   apsara   yaksha   Vajrapani   Mount Meru  abhaya mudra   varada mudra   cintamani   Chinese Art  
113,data/crop/FS-7755_23.png,Seated Buddha with figures,abhaya,China,Marble,Buddhism   Buddha   relief seal   inscription   Period of Division (220 - 589)   Northern Wei dynasty (386 - 534)   lotus   China   halo   abhaya mudra   Chinese Art  
114,data/crop/FS-7755_24_abhaya.png,"Seated Buddha with bodhisattvas, lions, and figures",abhaya,China,Stone,Buddhism   Buddha   bodhisattva   lion   relief seal   Period of Division (220 - 589)   lotus   Eastern Wei dynasty (534 - 550)   forgery   China   abhaya mudra   varada mudra   Chinese Art  
115,data/crop/FS-7755_24_varada.png,"Seated Buddha with bodhisattvas, lions, and figures",varada,China,Stone,Buddhism   Buddha   bodhisattva   lion   relief seal   Period of Division (220 - 589)   lotus   Eastern Wei dynasty (534 - 550)   forgery   China   abhaya mudra   varada mudra   Chinese Art  
116,data/crop/FS-7756_01_abhaya.png,Standing Buddha,abhaya,China,Stone,Buddhism   Buddha   lion   inscription   Period of Division (220 - 589)   lotus   Western Wei dynasty (535 - 556)   ushnisha   China   abhaya mudra   varada mudra   Chinese Art  
117,data/crop/FS-7756_01_varada.png,Standing Buddha,varada,China,Stone,Buddhism   Buddha   lion   inscription   Period of Division (220 - 589)   lotus   Western Wei dynasty (535 - 556)   ushnisha   China   abhaya mudra   varada mudra   Chinese Art  
118,data/crop/FS-7756_15.png,Standing Buddha (fragment),varada,China,Marble,Buddhism   Buddha   inscription   Period of Division (220 - 589)   lotus   Eastern Wei dynasty (534 - 550)   ushnisha   China   halo   mandorla   abhaya mudra   varada mudra   Chinese Art  
119,data/crop/FS-7756_29.png,Buddhist trinity,abhaya,China,Stone,Buddhism   Period of Division (220 - 589)   forgery   China   abhaya mudra   Chinese Art  
120,data/crop/FS-7756_37.png,Buddha with a bodhisattva (fragment),varada,China,Stone,Buddhism   Buddha   bodhisattva   Period of Division (220 - 589)   lotus   China   halo   abhaya mudra   varada mudra   Chinese Art  
121,data/crop/FS-7757_24.png,Buddhist stele (a) with an attached rubbing (b),abhaya,China,Gray stone; ink on paper,Buddhism   Buddha   lion   Tang dynasty (618 - 907)   inscription   lotus   Amitabha Buddha   stupa   standard script   China   halo   rubbing   abhaya mudra   varada mudra   anjali mudra   Chinese Art   Carl Whiting Bishop collection  
122,data/crop/FS-7775_02.png,Figurine,anjali,Japan,Bronze,Buddhism   casting   Japan   anjali mudra   Japanese Art  
123,data/crop/FS-7846_05.png,Buddha or Bodhisattva,dhyana,"Tibet,China",Gilt bronze,Buddhism   Buddha   bodhisattva   Ming dynasty (1368 - 1644)   casting   lotus   vajra   China   abhaya mudra   dhyana mudra   Chinese Art   gilding   Paul Singer collection  
124,data/crop/FS-7970_12.png,Figure of a bodhisattva,anjali,Japan,Bronze,Buddhism   Meiji era (1868 - 1912)   Japan   anjali mudra   Japanese Art  
125,data/crop/FS-7995_02.png,Buddhist stele,varada,China,Stone,Buddhism   bodhisattva   lion   Period of Division (220 - 589)   lotus   China   Gautama Buddha   Mount Meru   abhaya mudra   varada mudra   cintamani   Chinese Art  
126,data/crop/FS-7995_12_abhaya.png,The Buddha Gautama Sakyamni (Shih-chia) and attendant divinities,abhaya,China,Stone,Buddhism   Period of Division (220 - 589)   ushnisha   parinirvana   China   halo   Gautama Buddha   yaksa   lettering   abhaya mudra   varada mudra   Chinese Art   attendant  
127,data/crop/FS-7995_12_varada.png,The Buddha Gautama Sakyamni (Shih-chia) and attendant divinities,varada,China,Stone,Buddhism   Period of Division (220 - 589)   ushnisha   parinirvana   China   halo   Gautama Buddha   yaksa   lettering   abhaya mudra   varada mudra   Chinese Art   attendant  
128,data/crop/FS-7995_21.png,Seated figure of the Buddha Sakyamuni in high relief,abhaya,China,Stone,Buddhism   Period of Division (220 - 589)   China   Shakyamuni   varada mudra   anjali mudra   Chinese Art  
129,data/crop/FS-7996_05_abhaya.png,Standing Buddha,abhaya,Japan,"Wood, gold leaf, lacquer and textile",Buddhism   Buddha   Heian period (794 - 1185)   ushnisha   Japan   abhaya mudra   varada mudra   Japanese Art   WWII-era provenance  
130,data/crop/FS-7996_05_varada.png,Standing Buddha,varada,Japan,"Wood, gold leaf, lacquer and textile",Buddhism   Buddha   Heian period (794 - 1185)   ushnisha   Japan   abhaya mudra   varada mudra   Japanese Art   WWII-era provenance  
131,data/crop/FS-8047_19.png,Bodhisattva,varada,Japan,Wood,Buddhism   bodhisattva   Asuka period (552 - 710)   Japan   mudra   Japanese Art  
132,data/crop/FS-8047_22.png,Bodhisattva,vitarka,Japan,Wood,Buddhism   bodhisattva   Kamakura period (1185 - 1333)   Japan   dharmakaya-vitarka mudra   Japanese Art  
133,data/crop/FS-8049_03.png,Dai Nichi Nyorai,vajra,Japan,Wood and gold,Buddhism   Muromachi period (1333 - 1573)   lotus   urna   Japan   Dainichi Nyorai   vajra mudra   Japanese Art   WWII-era provenance  
134,data/crop/FS-8086_19.png,Buddhist stele,varada,China,Stone,Buddhism   Buddha   bodhisattva   Period of Division (220 - 589)   Northern Wei dynasty (386 - 534)   lotus   China   apsara   abhaya mudra   varada mudra   Chinese Art   WWII-era provenance  
135,data/crop/FS-8143_15.png,The Buddha Addressing Yamaraja at Kusinagara,undefined,unknown,"Ink, color, and gold on paper",Buddhism   peacock   crane   Buddha   bodhisattva   Song dynasty (960 - 1279)   sutra   China   preaching   mudra   Chinese Art  
136,data/crop/FS-8151_08.png,Tapestry: a Bodhisattva,vitarka,China,Hanging scroll; color on silk panel,Buddhism   bodhisattva   Yuan dynasty (1279 - 1368)   Avalokiteshvara   lotus   China   halo   mudra   Chinese Art   painted   tapestry   slit tapestry  
137,data/crop/FS-8151_11.png,Sakyamuni Seated Upon Three Demon-like Creatures,vitarka,China,Ink and color on silk,Buddhism   Yuan dynasty (1279 - 1368)   Ming dynasty (1368 - 1644)   demon   China   Shakyamuni   mudra   Chinese Art  
138,data/crop/FS-8168_18.png,Crowned Buddha,bhumisparsha,India,Stone,Buddhism   Buddha   Pala-Sena dynasty (750 - 1100)   India   bhumisparsha mudra   South Asian and Himalayan Art   WWII-era provenance  
139,data/crop/FS-8222_12.png,Otowa ware standing Amida Nyorai with inscribed pedestal,vitarka,"Kyoto,Japan",Transparent stoneware with iron glazes; gilding over iron slip; enamels over transparent glaze; iron pigment under glaze.,Buddhism   Buddha   Kyoto ware   Edo period (1615 - 1868)   enamel   lotus   Amitabha Buddha   Japan   dharmakaya-vitarka mudra   stoneware   iron wash   Japanese Art  
140,data/crop/FS-8380_07.png,The Bodhisattva Fugen and Attendants,anjali,Japan,"Ink, color, and gold on silk",Buddhism   elephant   Kamakura period (1185 - 1333)   child   Japan   halo   Fugen   anjali mudra   kakemono   Japanese Art   attendant   WWII-era provenance  
141,data/crop/FS-8506_05_abhaya.png,"Buddhist memorial stele, decorated on the front with a flat niche in which the Sakyamuni Buddha is seated on a low pedestal",abhaya,China,Stone,Buddhism   Buddha   China   apsara   lettering   abhaya mudra   bhumisparsha mudra   cintamani   Chinese Art   Carl Whiting Bishop collection  
142,data/crop/FS-8506_05_bhumisparsha.png,"Buddhist memorial stele, decorated on the front with a flat niche in which the Sakyamuni Buddha is seated on a low pedestal",bhumisparsha,China,Stone,Buddhism   Buddha   China   apsara   lettering   abhaya mudra   bhumisparsha mudra   cintamani   Chinese Art   Carl Whiting Bishop collection  
143,data/crop/FS-8506_06_abhaya.png,Buddhist memorial stele,abhaya,China,Stone,Buddhism   China   mandorla   lettering   abhaya mudra   varada mudra   Chinese Art   Carl Whiting Bishop collection  
144,data/crop/FS-8506_06_varada.png,Buddhist memorial stele,varada,China,Stone,Buddhism   China   mandorla   lettering   abhaya mudra   varada mudra   Chinese Art   Carl Whiting Bishop collection  
145,data/crop/FS-8506_20.png,Stele with Buddha seated on a Pedestal,abhaya,China,Hard grey limestone,Buddhism   Buddha   bodhisattva   lotus   China   halo   lettering   abhaya mudra   Chinese Art   Carl Whiting Bishop collection  
146,data/crop/FS-8535_11.png,Buddhist tablet: standing figure in high relief; right hand missing,varada,China,Stone,Buddhism   Period of Division (220 - 589)   China   Shakyamuni   lettering   varada mudra   Chinese Art  
147,data/crop/FS-8535_28.png,"Buddhist tablet: central figure seated cross-legged; elaborage background, perforated and bearing figures in relief",anjali,China,Stone,Buddhism   forgery   China   apsara   anjali mudra   Chinese Art  
148,data/crop/FS-8535_41.png,"Buddhist tablet: rectangular base and rounded top; on obverse, figures in high relief, including central seated figure with two supporters on either hand, and two angels above; inscriptions",bhumisparsha,China,Stone,Buddhism   Tang dynasty (618 - 907)   China   Gautama Buddha   apsara   lettering   bhumisparsha mudra   Chinese Art  
149,data/crop/FS-8535_42.png,Seated Buddhist figure: high octagonal pedestal and perforated background,abhaya,China,Stone,Buddhism   Buddha   Tang dynasty (618 - 907)   ushnisha   forgery   China   throne   abhaya mudra   varada mudra   Chinese Art  
150,data/crop/FS-8535_43_abhaya.png,"Buddhist tablet: seated central figure flanked by monk and Bodhisattva on either hand; rectangular base, and figure of Buddha in sunken relief on reverse",abhaya,China,Stone,Buddhism   Buddha   bodhisattva   lion   Period of Division (220 - 589)   shrine   bodhi tree   China   halo   monk   apsara   abhaya mudra   varada mudra   dhyana mudra   anjali mudra   Chinese Art  
151,data/crop/FS-8535_43_varada.png,"Buddhist tablet: seated central figure flanked by monk and Bodhisattva on either hand; rectangular base, and figure of Buddha in sunken relief on reverse",varada,China,Stone,Buddhism   Buddha   bodhisattva   lion   Period of Division (220 - 589)   shrine   bodhi tree   China   halo   monk   apsara   abhaya mudra   varada mudra   dhyana mudra   anjali mudra   Chinese Art  
